Category,Review
gyms,"I come to this location all the time and love to Boulder but when i arrived the bouldering section was closed 
I live 30 minutes drive  and getting here is..."
gyms,"This place is definitely not meant for kids. It also smells like a high school boys locker room.
The place is usually packed with people ranging from your..."
gyms,BKB Gowanus might share the same name as they're sister location in Boston but this facility is far cry from the world class location they have up...
gyms,"Have been coming here for about 6 months since I decided to do more low impact cardio. Tried different rowing studios in the city before, much prefer this..."
gyms,"Rowing itself is a great workout but I did not really like this studio or the cadence of the class. It's a small space, which is to be expected in Manhattan..."
gyms,My sister invited me to take a class with her and WOW what a great workout! I was a little intimidated at first but the instructors help me figure out the...
gyms,"Tried tonehouse during COVID at the East river park. Great workout, even the intermediate level was very tough. Very reminiscent of sport practices growing..."
gyms,"If walking into this gym isn't intimidating enough, the dramatic, reality competition show music a la Survivor playing in the low lit waiting area is more..."
gyms,I have not experienced a workout this hard since my competitive figure skating days almost a decade ago. I read all the reviews and heard from friends that...
gyms,"iLKB Chelsea is the BEST! This location is clean, spacious, and super close to major subway lines.

The instructors are beyond friendly, helpful,..."
gyms,"I got a groupon here and the class was great! I am not a cardio person, so this class kicked me hard! It was a great experience nonetheless and staff was sweet."
gyms,"After casually being here for over 2 years, I have noticed the high turnover rate and finally decided to update my last review from a 5 stars down to a 1.5..."
gyms,Very impressed with how the gym has handled reopening. Since coming back to the gym in September the facilities have been clean and organized. You have to...
gyms,"It's very difficult to find any flaws in Chelsea Piers Fitness!

The facility is just HUGE with race tracks, boxing section, rock climbing, and a swimming..."
gyms,People working out here without face coverings on is very concerning to me. I will not be coming back.
gyms,"Forever grateful having moved to LIC four years ago, because it introduced us to Beyond Movement.

The first day I walked into the gym, I had my usual getup..."
gyms,"Let me start by saying..I honestly don't remember the last time I got my ass kicked so much at a gym.

This gym is located in Long Island City, two blocks..."
gyms,"If you're looking for a gym that's both fun and challenging, I think Beyond Movement in LIC is for you. I've taken a handful of classes and all of them..."
gyms,"Took an 11am class with Scott. I was running semi-late, walked in around 10:58 and the very nice woman at the front desk was super accomodating and helped..."
gyms,"I attended a bicep, chest, abs class. We did a good balance of exercises for those muscles. We were told to get 4 different sets of weights to use for..."
gyms,"I have only taken one class here so far but wow I love it here! Front desk is so so kind, and it's a small but very efficient use of space. The atmosphere..."
gyms,"Great group fitness experience. Here's why:

1. Classes are capped at eight. The instructors pay attention to you and correct your form, which isn't always..."
gyms,"I joined TS Fitness about a month and a half ago, and it really has been the best decision for me. I think at first I was a little on the fence about it..."
gyms,"This is my go-to studio in NYC! Even though it's a mile distance from where I live, I just love the experience that the TS Fitness team provides. I've been..."
gyms,I've always been a skeptic of barre class - how much of a workout can little tiny weights and no impact really get you?! I stuck to weights and HIIT and...
gyms,"PLEASE HIRE A CLEANER.

The bathrooms are just not clean. The floor is not cleaned often enough. The mats are not well wiped after class by people...."
gyms,"Though I'm far from advanced, I'm not a beginner and I didn't come to Pop Physique a virgin to barre. I still need and expect clear, concise instructions,..."
gyms,"I joined Harbor Fitness a few months before COVID hit and I'm so glad I did. What a great gym! I had no interest in Crunch, and having had a membership at..."
gyms,"Love this gym!! I powerlift & it has plenty of free weights & squatting cages. They have an array of machines (probably all that you need & more), & tons of..."
gyms,I love this gym! The people are so nice. Lisa worked with me to freeze my membership due to COVID! I can't wait to come back!
gyms,"This is the best gym I've ever been a member of! From the front desk staff, to the trainers - shout out to my boy Cam and my fav Pilates teacher Jasmine, to..."
gyms,SevenBell Fitness is the real deal. Probably the cleanest and most well-run gym I've ever belonged to. The staff and trainers are very friendly and always...
gyms,"Honestly, I've never been keen on sports. EVER. I can't even imagine how doing sports can make someone happy, bring joy or something. Any physical activity..."
gyms,"Power 45 with Yulia, a great first class!  Differed from my regular barre workouts, as there were fewer standing barre exercises than I'm used to and the..."
gyms,"I've been here numerous times and really like this studio. The space itself is quite large, with ample sized locker rooms and a ton of lockers. The women's..."
gyms,"This, unfortunately, is my least favorite Flywheel studio in the city. The layout is not super conducive to the volume of people milling about during peak..."
gyms,A few years ago my wife convinced me to check out this new gym she loved. I was skeptical as we usually enjoy different types of workouts. I went to one...
gyms,"I moved to NYC 2.5 years ago and tried a bunch of different gyms before I was introduced to Trooper. I wasn't use to small group training (I'm from Texas,..."
gyms,I've been taking classes at Trooper for several years now and can honestly say it is one of the best workouts in the city (or anywhere for that matter). I...
gyms,"I go to BSF through ClassPass and it is by far one of the best (and my personal favorite!) I have tried every group class they offer: Body Camp Sweat, Lift,..."
gyms,"You can get a pretty good sweat in at this no frills gym. I've taken a number of their circuit based classes that involve basic equipment like kettlebells,..."
gyms,"Nice facilities, ladies locker has showers, towels, lockers that are hard to work, shampoo, lotion, hair dryer, etc.  Water fountain is nice.  

I came here..."
gyms,Ive been going to this gym on and off since 2015 (less from 2017-2020 because I moved further away) AND now have been doing their live streaming classes....
gyms,"I tried lots of boxing gyms on ClassPass and WTF is by far the best. The coaches are amazing (Nikki and Greg in particular), the space is highly functional..."
gyms,"I purchased WTF's $97/unlimited promo & while I've only taken 2 classes, it's been freaking awesome.

The gym is nice, spacious, and clean. (The locker room..."
gyms,"Great neighborhood gym. It's clean and neat, and the staff is so kind. If you're interested in personal training I highly recommend Jeff. He's the best, got..."
gyms,"Normally I would give this gym 4 stars because it's a decent, smaller sized gym that is mostly reliable in terms of machines working and things being clean...."
gyms,"Not only is this a wonderful clean gym with great classes and instructors, the customer service is top notch. Jack, the manager, is incredibly helpful and..."
gyms,"I can't believe I'd ever say this, but I just started coming here and I am hooked!

The vibe here is warm. It's LGBTQ friendly, a wide range of ages (teen..."
gyms,"I just joined CrossFit South Brooklyn and in my two visits there, I've been really impressed with the level of knowledge and professionalism of the..."
